DATETIME,Environment:Outdoor Dry Bulb [C], TOTAL POWER[KW],DR Event,Power prediction
 01/05  17:00:00,10.3,157.8243,0,118.50096
 01/05  17:15:00,10.3,118.50096,0,118.22605
 01/05  17:30:00,10.3,118.22605,0,118.09524
 01/05  17:45:00,10.3,118.09524,0,117.99864
 01/05  18:00:00,10.3,117.99864,0,67.58229
 01/05  18:15:00,10.3,67.58229,0,67.58229
 01/05  18:30:00,10.3,67.58229,0,67.58229
 01/05  18:45:00,10.3,67.58229,0,67.58229
 01/05  19:00:00,10.3,67.58229,0,56.31858
 01/05  19:15:00,10.3,56.31858,0,56.31858
 01/05  19:30:00,10.3,56.31858,0,56.31858
 01/05  19:45:00,10.3,56.31858,0,56.31858
 01/05  20:00:00,10.3,56.31858,0,56.31858
 01/05  20:15:00,10.3,56.31858,0,56.31858
 01/05  20:30:00,10.3,56.31858,0,56.31858
 01/05  20:45:00,10.3,56.31858,0,56.31858
 01/05  21:00:00,10.3,56.31858,0,56.31858
 01/05  21:15:00,10.3,56.31858,0,56.31858
 01/05  21:30:00,10.3,56.31858,0,56.31858
 01/05  21:45:00,10.3,56.31858,0,56.31858
 01/05  22:00:00,10.3,56.31858,0,56.31858
 01/05  22:15:00,10.25,56.31858,0,56.31858
 01/05  22:30:00,10.2,56.31858,0,56.31858
 01/05  22:45:00,10.15,56.31858,0,56.31858
 01/05  23:00:00,10.1,56.31858,0,56.31858
 01/05  23:15:00,10.05,56.31858,0,56.31858
 01/05  23:30:00,10,56.31858,0,56.31858
 01/05  23:45:00,9.95,56.31858,0,56.31858
 01/05  24:00:00,9.9,56.31858,0,45.05486
 01/06  00:15:00,9.8,45.05486,0,45.05486
 01/06  00:30:00,9.7,45.05486,0,45.05486
 01/06  00:45:00,9.6,45.05486,0,45.05486
 01/06  01:00:00,9.5,45.05486,0,45.05486
 01/06  01:15:00,9.45,45.05486,0,45.05486
 01/06  01:30:00,9.4,45.05486,0,45.05486
 01/06  01:45:00,9.35,45.05486,0,45.05486
 01/06  02:00:00,9.3,45.05486,0,45.05486
 01/06  02:15:00,9.25,45.05486,0,45.05486
 01/06  02:30:00,9.2,45.05486,0,45.05486
 01/06  02:45:00,9.15,45.05486,0,45.05486
 01/06  03:00:00,9.1,45.05486,0,45.05486
 01/06  03:15:00,9,45.05486,0,45.05486
 01/06  03:30:00,8.9,45.05486,0,45.05486
 01/06  03:45:00,8.8,45.05486,0,45.05486
 01/06  04:00:00,8.7,45.05486,0,45.05486
 01/06  04:15:00,8.7,45.05486,0,45.05486
 01/06  04:30:00,8.7,45.05486,0,45.05486
 01/06  04:45:00,8.7,45.05486,0,45.05486
 01/06  05:00:00,8.7,45.05486,0,45.05486
 01/06  05:15:00,8.7,45.05486,0,45.05486
 01/06  05:30:00,8.7,45.05486,0,45.05486
 01/06  05:45:00,8.7,45.05486,0,45.05486
 01/06  06:00:00,8.7,45.05486,0,45.05486
 01/06  06:15:00,8.7,45.05486,0,45.05486
 01/06  06:30:00,8.7,45.05486,0,45.05486
 01/06  06:45:00,8.7,45.05486,0,45.05486
 01/06  07:00:00,8.7,45.05486,0,45.05486
 01/06  07:15:00,8.8,45.05486,0,45.05486
 01/06  07:30:00,8.9,45.05486,0,45.05486
